division,p_intdiff,p_intdiff_lwr,p_intdiff_upr,p_inturban,p_inturban_lwr,p_inturban_upr,p_intrural,p_intrural_lwr,p_intrural_upr
New England,0.017801067,-0.024841936,0.060444068,0.875715984,0.82500607,0.92642587,0.857914917,0.8235994,0.89223045
Middle Atlantic,-0.019498184,-0.090893991,0.051897623,0.893377991,0.83853632,0.94821966,0.912876175,0.85310596,0.97264642
East North Central,0.000415087,-0.053045642,0.053875819,0.862518016,0.83762813,0.8874079,0.862102929,0.81639594,0.90780991
West North Central,0.07679829,-0.02452202,0.1781186,0.880049821,0.84634656,0.91375309,0.803251528,0.71491587,0.8915872
South Atlantic,0.032563195,-0.035406966,0.10053335,0.85297286,0.82631367,0.87963206,0.820409664,0.76279068,0.87802869
East South Central,0.093347646,-0.013953196,0.20064849,0.783607269,0.70541942,0.86179513,0.69025962,0.63497514,0.74554414
West South Central,0.051023088,-0.022965411,0.12501159,0.816050539,0.76406747,0.86803365,0.765027451,0.72123361,0.80882126
Mountain North,0.05495869,-0.061945468,0.17186284,0.874221369,0.81989342,0.92854935,0.819262679,0.73820609,0.90031928
Mountain South,0.18516979,0.071921483,0.2984181,0.852660354,0.81321025,0.89211041,0.667490565,0.5826031,0.75237805
Pacific,0.034323201,-0.045082729,0.11372913,0.887109141,0.86173356,0.91248471,0.852785939,0.77440035,0.93117154
